Symbol,Model,Accuracy,Sharpe
AUDUSD,RandomForestClassifier,0.776,0.676
AUDUSD,GaussianNB,0.843,-0.746
AUDUSD,GradientBoostingClassifier,0.726,-1.051
AUDUSD,LGBMClassifier,0.899,-4.736
AUDUSD,BernoulliNB,0.914,-7.093
AUDUSD,XGBClassifier,0.932,-12.873
AUDUSD,SVC,0.945,
BTCUSD,BernoulliNB,0.398,-0.512
BTCUSD,GaussianNB,0.399,-4.241
BTCUSD,SVC,0.428,-4.873
BTCUSD,GradientBoostingClassifier,0.36,-6.03
BTCUSD,RandomForestClassifier,0.386,-7.016
BTCUSD,LGBMClassifier,0.374,-8.723
BTCUSD,XGBClassifier,0.379,-9.616
CHFJPY,GradientBoostingClassifier,0.82,-5.395
CHFJPY,RandomForestClassifier,0.944,-5.45
CHFJPY,XGBClassifier,0.944,-5.5
CHFJPY,GaussianNB,0.888,-6.787
CHFJPY,LGBMClassifier,0.961,-8.337
CHFJPY,BernoulliNB,0.908,-9.888
CHFJPY,SVC,0.963,
ETHUSD,GaussianNB,0.418,-3.669
ETHUSD,SVC,0.42,-3.94
ETHUSD,GradientBoostingClassifier,0.397,-4.489
ETHUSD,BernoulliNB,0.398,-6.917
ETHUSD,RandomForestClassifier,0.402,-6.982
ETHUSD,LGBMClassifier,0.426,-7.626
ETHUSD,XGBClassifier,0.411,-8.32
EURGBP,GradientBoostingClassifier,0.982,5.454
EURGBP,GaussianNB,0.929,-5.068
EURGBP,BernoulliNB,0.935,-7.991
EURGBP,LGBMClassifier,0.977,-9.964
EURGBP,RandomForestClassifier,0.984,
EURGBP,SVC,0.984,
EURGBP,XGBClassifier,,
EURUSD,GaussianNB,0.754,1.865
EURUSD,XGBClassifier,0.966,1.035
EURUSD,GradientBoostingClassifier,0.952,0.387
EURUSD,LGBMClassifier,0.975,-2.141
EURUSD,BernoulliNB,0.967,-11.829
EURUSD,RandomForestClassifier,0.981,
EURUSD,SVC,0.981,
GBPCHF,BernoulliNB,0.943,-5.003
GBPCHF,LGBMClassifier,0.957,-5.963
GBPCHF,XGBClassifier,0.957,-6.671
GBPCHF,GradientBoostingClassifier,0.946,-7.23
GBPCHF,GaussianNB,0.539,-9.174
GBPCHF,RandomForestClassifier,0.972,
GBPCHF,SVC,0.972,
GBPJPY,GradientBoostingClassifier,0.815,-5.999
GBPJPY,XGBClassifier,0.877,-6.253
GBPJPY,SVC,0.913,-6.63
GBPJPY,RandomForestClassifier,0.905,-7.314
GBPJPY,LGBMClassifier,0.879,-7.598
GBPJPY,GaussianNB,0.548,-8.89
GBPJPY,BernoulliNB,0.861,-11.403
GBPUSD,GradientBoostingClassifier,0.93,3.213
GBPUSD,GaussianNB,0.722,1.07
GBPUSD,BernoulliNB,0.966,-7.792
GBPUSD,LGBMClassifier,0.948,-12.041
GBPUSD,RandomForestClassifier,0.969,
GBPUSD,SVC,0.969,
GBPUSD,XGBClassifier,0.969,
JPN225,GaussianNB,0.418,-2.873
JPN225,GradientBoostingClassifier,0.389,-4.058
JPN225,XGBClassifier,0.382,-5.489
JPN225,SVC,0.316,-5.795
JPN225,LGBMClassifier,0.364,-5.841
JPN225,BernoulliNB,0.482,-5.882
JPN225,RandomForestClassifier,0.37,-6.761
NAS100,GaussianNB,0.738,-3.072
NAS100,RandomForestClassifier,0.782,-4.471
NAS100,GradientBoostingClassifier,0.72,-6.225
NAS100,BernoulliNB,0.757,-6.305
NAS100,SVC,0.816,-6.895
NAS100,LGBMClassifier,0.75,-8.218
NAS100,XGBClassifier,0.742,-11.095
US2000,GaussianNB,0.687,-0.022
US2000,BernoulliNB,0.692,-2.354
US2000,GradientBoostingClassifier,0.69,-5.774
US2000,RandomForestClassifier,0.729,-6.01
US2000,XGBClassifier,0.726,-7.264
US2000,SVC,0.754,-8.079
US2000,LGBMClassifier,0.72,-10.161
US30,SVC,0.914,4.568
US30,RandomForestClassifier,0.884,2.711
US30,XGBClassifier,0.877,-0.639
US30,GradientBoostingClassifier,0.72,-2.568
US30,BernoulliNB,0.864,-3.452
US30,GaussianNB,0.599,-6.131
US30,LGBMClassifier,0.867,-6.688
US500,RandomForestClassifier,0.772,0.208
US500,GaussianNB,0.841,-1.003
US500,GradientBoostingClassifier,0.699,-2.617
US500,XGBClassifier,0.883,-5.509
US500,LGBMClassifier,0.881,-6.659
US500,BernoulliNB,0.884,-8.129
US500,SVC,0.926,
USDCHF,RandomForestClassifier,0.97,-2.984
USDCHF,LGBMClassifier,0.967,-3.121
USDCHF,GradientBoostingClassifier,0.952,-4.153
USDCHF,XGBClassifier,0.975,-5.21
USDCHF,GaussianNB,0.953,-5.271
USDCHF,BernoulliNB,0.963,-8.847
USDCHF,SVC,0.974,
USDJPY,LGBMClassifier,0.854,-2.483
USDJPY,XGBClassifier,0.858,-2.739
USDJPY,RandomForestClassifier,0.874,-4.033
USDJPY,GradientBoostingClassifier,0.766,-4.877
USDJPY,GaussianNB,0.696,-6.615
USDJPY,BernoulliNB,0.892,-8.433
USDJPY,SVC,0.921,
XAUUSD,BernoulliNB,0.738,-1.988
XAUUSD,GradientBoostingClassifier,0.737,-3.281
XAUUSD,GaussianNB,0.502,-6.017
XAUUSD,RandomForestClassifier,0.804,-6.611
XAUUSD,LGBMClassifier,0.78,-6.793
XAUUSD,XGBClassifier,0.784,-7.246
XAUUSD,SVC,0.866,-9.724
