Symbol,Model,Accuracy,Sharpe
AUDUSD,BernoulliNB,0.923,0.289
AUDUSD,LGBMClassifier,0.924,-0.913
AUDUSD,GaussianNB,0.866,-1.555
AUDUSD,RandomForestClassifier,0.917,-1.765
AUDUSD,GradientBoostingClassifier,0.882,-2.168
AUDUSD,XGBClassifier,0.924,-2.236
AUDUSD,SVC,0.925,-2.662
EURUSD,LGBMClassifier,0.948,-1.274
EURUSD,BernoulliNB,0.945,-1.474
EURUSD,XGBClassifier,0.948,-1.489
EURUSD,GaussianNB,0.862,-2.234
EURUSD,RandomForestClassifier,0.94,-2.552
EURUSD,GradientBoostingClassifier,0.824,-3.194
EURUSD,SVC,0.95,
GBPUSD,XGBClassifier,0.967,2.359
GBPUSD,GaussianNB,0.806,0.279
GBPUSD,RandomForestClassifier,0.863,0.02
GBPUSD,GradientBoostingClassifier,0.796,-0.583
GBPUSD,BernoulliNB,0.959,-3.591
GBPUSD,SVC,0.967,
GBPUSD,LGBMClassifier,0.967,
